N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"58,000",100,-0.17%,100,"3,462,474","5,969,783",49.64,"10,787,138",9.10,13.92,
2,LG에너지솔루션,"400,000","1,000",-0.25%,500,"936,000","234,000",3.22,"222,550",127.47,10.68,
3,SK하이닉스,"94,000",700,+0.75%,"5,000","684,322","728,002",49.43,"2,714,119",6.46,16.84,
4,삼성바이오로직스,"832,000","2,000",-0.24%,"2,500","592,168","71,174",10.70,"42,671",116.17,8.21,
5,삼성전자우,"52,600",300,-0.57%,100,"432,838","822,887",72.15,"635,965",8.25,N/A,
6,현대차,"183,500","4,500",+2.51%,"5,000","392,081","213,668",26.80,"933,993",9.77,6.84,
7,NAVER,"237,500","4,000",+1.71%,100,"389,617","164,049",53.38,"450,564",28.88,106.72,
8,LG화학,"517,000","3,000",+0.58%,"5,000","364,962","70,592",47.61,"204,076",13.26,18.47,
9,삼성SDI,"528,000",0,0.00%,"5,000","363,077","68,765",42.55,"215,597",26.69,8.45,
10,기아,"79,800","1,100",+1.40%,"5,000","323,480","405,363",36.09,"1,264,517",6.80,14.69,
11,카카오,"71,900","1,600",+2.28%,100,"319,918","444,948",28.91,"1,151,376",12.95,17.10,
12,셀트리온,"190,000","2,500",+1.33%,"1,000","267,459","140,768",20.60,"511,083",52.98,16.04,
13,삼성물산,"113,500","1,000",-0.87%,100,"212,117","186,887",16.40,"245,079",16.14,5.40,
14,현대모비스,"210,000","6,000",+2.94%,"5,000","198,603","94,573",34.12,"335,654",8.76,6.87,
15,POSCO홀딩스,"226,500","3,500",+1.57%,"5,000","197,478","87,187",52.90,"187,230",2.70,13.97,
16,KB금융,"45,300",800,-1.74%,"5,000","186,796","412,352",72.67,"1,423,163",4.10,9.80,
17,신한지주,"34,600","1,000",-2.81%,"5,000","177,475","512,934",61.93,"1,657,983",4.37,8.80,
18,SK,"208,500","2,000",+0.97%,200,"154,601","74,149",22.09,"110,372",5.08,10.19,
19,SK이노베이션,"166,500","1,500",+0.91%,"5,000","153,955","92,466",25.28,"513,911",10.58,1.91,
20,카카오뱅크,"31,600","1,600",+5.33%,"5,000","150,505","476,282",12.56,"1,338,097",63.97,4.91,
21,LG전자,"91,100",700,+0.77%,"5,000","149,083","163,648",26.93,"672,910",13.07,6.32,
22,한국전력,"21,850",250,-1.13%,"5,000","140,269","641,964",14.66,"855,610",-1.24,-7.99,
23,SK텔레콤,"55,800",800,+1.45%,100,"122,109","218,833",47.75,"657,801",8.30,13.63,
24,LG,"76,800",100,-0.13%,"5,000","120,807","157,301",35.99,"216,200",4.35,12.36,
25,크래프톤,"242,500","5,500",+2.32%,100,"119,000","49,072",29.24,"83,202",19.95,17.86,
26,삼성생명,"58,700",500,-0.84%,500,"117,400","200,000",13.22,"172,394",18.03,4.01,
27,HMM,"23,600",50,+0.21%,"5,000","115,413","489,039",8.96,"1,356,646",1.21,88.62,
28,두산에너빌리티,"17,750",400,-2.20%,"5,000","112,393","633,202",10.13,"2,708,503",26.61,10.67,
29,LG생활건강,"715,000","7,000",+0.99%,"5,000","111,670","15,618",37.76,"81,692",18.12,16.65,
30,KT&G,"81,200",800,-0.98%,"5,000","111,482","137,292",40.03,"170,411",11.52,10.74,
31,SK바이오사이언스,"142,500","5,000",-3.39%,500,"109,417","76,784",3.88,"1,876,429",31.97,38.08,
32,하나금융지주,"35,650",400,-1.11%,"5,000","105,490","295,903",72.71,"1,380,094",2.98,10.86,
33,삼성에스디에스,"133,000","4,000",+3.10%,500,"102,912","77,378",13.21,"127,701",15.77,8.80,
34,현대중공업,"115,500","5,500",-4.55%,"5,000","102,533","88,773",5.72,"330,698",-9.37,-14.87,
35,S-Oil,"89,900","1,300",-1.43%,"2,500","101,212","112,583",82.46,"475,466",5.50,21.76,
36,삼성전기,"133,000","1,000",+0.76%,"5,000","99,343","74,694",26.02,"344,640",10.59,14.29,
37,KT,"37,150",100,-0.27%,"5,000","97,003","261,112",44.85,"678,649",6.63,9.36,
38,삼성화재,"198,500","3,000",-1.49%,500,"94,039","47,375",49.51,"73,512",8.86,7.09,
39,카카오페이,"67,500","2,300",+3.53%,500,"89,457","132,529",43.66,"241,601",-340.91,-2.45,
40,대한항공,"24,750","1,100",+4.65%,"5,000","86,086","347,821",13.38,"2,612,208",7.42,11.60,
41,고려아연,"454,500","1,000",+0.22%,"5,000","85,764","18,870",20.41,"39,282",11.36,11.07,
42,포스코케미칼,"108,500","4,500",+4.33%,500,"84,048","77,463",6.37,"233,832",64.43,7.92,
43,우리금융지주,"11,450",100,+0.88%,"5,000","83,363","728,061",40.05,"2,243,336",3.01,10.59,
44,엔씨소프트,"366,500","8,500",+2.37%,500,"80,461","21,954",42.31,"78,051",16.59,12.62,
45,LG이노텍,"337,500","9,000",+2.74%,"5,000","79,876","23,667",26.33,"169,448",8.83,30.94,
46,아모레퍼시픽,"136,000","6,000",+4.62%,500,"79,550","58,493",25.91,"195,562",53.38,4.20,
47,현대글로비스,"182,500","4,000",+2.24%,500,"68,438","37,500",45.13,"114,197",7.24,14.41,
48,기업은행,"9,070",80,-0.87%,"5,000","67,508","744,301",13.99,"1,271,751",2.91,9.21,
49,하이브,"158,500","2,500",+1.60%,500,"65,545","41,353",15.48,"130,007",40.86,6.83,
50,한화솔루션,"33,100",200,-0.60%,"5,000","63,313","191,278",18.98,"975,229",19.09,8.79,
